# İngilizce Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı sırada)
ben i
sen you
biz we
bu this
şu that
kim who
ne what
değil not
hep all
çok many
bir one
iki two
büyük big
uzun long
küçük small
kadın woman
adam man
insan person
balık fish
kuş bird
köpek dog
bit louse
ağaç tree
tohum seed
yaprak leaf
kök root
kabuk bark
deri skin
et flesh
kan blood
kemik bone
yağ fat
yumurta egg
boynuz horn
kuyruk tail
tüy feather
saç hair
baş head
kulak ear
göz eye
burun nose
ağız mouth
diş tooth
dil tongue
tırnak claw
ayak foot
diz knee
el hand
karın belly
boyun neck
göğüs breast
yürek heart
karaciğer liver
içmek drink
yemek eat
ısırmak bite
görmek see
duymak hear
bilmek know
uyumak sleep
ölmek die
öldürmek kill
yüzmek swim
uçmak fly
yürümek walk
gelmek come
yatmak lie
oturmak sit
durmak stand
vermek give
demek say
güneş sun
ay moon
yıldız star
su water
yağmur rain
taş stone
kum sand
toprak earth
bulut cloud
duman smoke
ateş fire
kül ash
yanmak burn
yol path
dağ mountain
kırmızı red
yeşil green
sarı yellow
beyaz white
kara black
gece night
sıcak hot
soğuk cold
dolu full
yeni new
iyi good
yuvarlak round
kuru dry
ad name
