# Fransızca Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: aksanlar tabana indirgenir (é/è/ê->e,
# à/â->a, î/ï->i, ô->o, û/ù->u, ë->e); ç->s ([s]); œ->ö. Eylemler mastar.
# İlk taslak.
ben je
sen tu
biz nous
bu ceci
şu cela
kim qui
ne quoi
değil ne
hep tout
çok beaucoup
bir un
iki deux
büyük grand
uzun long
küçük petit
kadın femme
adam homme
insan personne
balık poisson
kuş oiseau
köpek chien
bit pou
ağaç arbre
tohum graine
yaprak feuille
kök racine
kabuk ecorce
deri peau
et chair
kan sang
kemik os
yağ graisse
yumurta oeuf
boynuz corne
kuyruk queue
tüy plume
saç cheveux
baş tete
kulak oreille
göz oeil
burun nez
ağız bouche
diş dent
dil langue
tırnak griffe
ayak pied
diz genou
el main
karın ventre
boyun cou
göğüs poitrine
yürek coeur
karaciğer foie
içmek boire
yemek manger
ısırmak mordre
görmek voir
duymak entendre
bilmek savoir
uyumak dormir
ölmek mourir
öldürmek tuer
yüzmek nager
uçmak voler
yürümek marcher
gelmek venir
yatmak coucher
oturmak asseoir
durmak rester
vermek donner
demek dire
güneş soleil
ay lune
yıldız etoile
su eau
yağmur pluie
taş pierre
kum sable
toprak terre
bulut nuage
duman fumee
ateş feu
kül cendre
yanmak bruler
yol chemin
dağ montagne
kırmızı rouge
yeşil vert
sarı jaune
beyaz blanc
kara noir
gece nuit
sıcak chaud
soğuk froid
dolu plein
yeni nouveau
iyi bon
yuvarlak rond
kuru sec
ad nom
