# İtalyanca Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: aksanlar tabana indirgenir (à->a, è/é->e,
# ò/ó->o, ù->u, ì->i). Eylemler mastar (-are/-ere/-ire). İlk taslak.
ben io
sen tu
biz noi
bu questo
şu quello
kim chi
ne che
değil non
hep tutto
çok molti
bir uno
iki due
büyük grande
uzun lungo
küçük piccolo
kadın donna
adam uomo
insan persona
balık pesce
kuş uccello
köpek cane
bit pidocchio
ağaç albero
tohum seme
yaprak foglia
kök radice
kabuk corteccia
deri pelle
et carne
kan sangue
kemik osso
yağ grasso
yumurta uovo
boynuz corno
kuyruk coda
tüy piuma
saç capelli
baş testa
kulak orecchio
göz occhio
burun naso
ağız bocca
diş dente
dil lingua
tırnak unghia
ayak piede
diz ginocchio
el mano
karın pancia
boyun collo
göğüs petto
yürek cuore
karaciğer fegato
içmek bere
yemek mangiare
ısırmak mordere
görmek vedere
duymak sentire
bilmek sapere
uyumak dormire
ölmek morire
öldürmek uccidere
yüzmek nuotare
uçmak volare
yürümek camminare
gelmek venire
yatmak giacere
oturmak sedere
durmak stare
vermek dare
demek dire
güneş sole
ay luna
yıldız stella
su acqua
yağmur pioggia
taş pietra
kum sabbia
toprak terra
bulut nuvola
duman fumo
ateş fuoco
kül cenere
yanmak bruciare
yol strada
dağ montagna
kırmızı rosso
yeşil verde
sarı giallo
beyaz bianco
kara nero
gece notte
sıcak caldo
soğuk freddo
dolu pieno
yeni nuovo
iyi buono
yuvarlak rotondo
kuru secco
ad nome
