# Hırvatça Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: c -> ţ ([ts]), č/ć -> ç (kaba ölçekte ayrım
# yok), đ -> c, š -> ş, ž -> j, kayıcı j -> y (lj->ly, nj->ny, dž->dj).
# Eylemler mastar. İlk taslak.
ben ya
sen ti
biz mi
bu ovay
şu tay
kim tko
ne şto
değil ne
hep sve
çok mnogo
bir yedan
iki dva
büyük velik
uzun dug
küçük mali
kadın jena
adam muşkaraţ
insan çovyek
balık riba
kuş ptiţa
köpek pas
bit uş
ağaç drvo
tohum syeme
yaprak list
kök koriyen
kabuk kora
deri koja
et meso
kan krv
kemik kost
yağ mast
yumurta yaye
boynuz rog
kuyruk rep
tüy pero
saç kosa
baş glava
kulak uho
göz oko
burun nos
ağız usta
diş zub
dil yezik
tırnak nokat
ayak noga
diz kolyeno
el ruka
karın trbuh
boyun vrat
göğüs prsa
yürek srţe
karaciğer yetra
içmek piti
yemek yesti
ısırmak gristi
görmek vidyeti
duymak çuti
bilmek znati
uyumak spavati
ölmek umriyeti
öldürmek ubiti
yüzmek plivati
uçmak letyeti
yürümek hodati
gelmek doçi
yatmak lejati
oturmak syediti
durmak stayati
vermek dati
demek reçi
güneş sunţe
ay myeseţ
yıldız zviyezda
su voda
yağmur kişa
taş kamen
kum piyesak
toprak zemlya
bulut oblak
duman dim
ateş vatra
kül pepeo
yanmak goryeti
yol put
dağ gora
kırmızı ţrven
yeşil zelen
sarı jut
beyaz biyel
kara ţrn
gece noç
sıcak vruç
soğuk hladan
dolu pun
yeni nov
iyi dobar
yuvarlak okrugao
kuru suh
ad ime
