# Romence Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı sırada).
# Yazılış normalizasyonu (Latin harf kümesine uydurmak için): ă -> ə, â/î -> ı,
# ș -> ş, ț -> ţ ([ts], artık yazılı harf). Eylemler mastar biçimindedir.
ben eu
sen tu
biz noi
bu acesta
şu acela
kim cine
ne ce
değil nu
hep tot
çok mulţi
bir unu
iki doi
büyük mare
uzun lung
küçük mic
kadın femeie
adam bərbat
insan om
balık peşte
kuş pasəre
köpek cıine
bit pəduche
ağaç copac
tohum səmınţə
yaprak frunzə
kök rədəcinə
kabuk scoarţə
deri piele
et carne
kan sınge
kemik os
yağ grəsime
yumurta ou
boynuz corn
kuyruk coadə
tüy panə
saç pər
baş cap
kulak ureche
göz ochi
burun nas
ağız gurə
diş dinte
dil limbə
tırnak ghearə
ayak picior
diz genunchi
el mınə
karın burtə
boyun gıt
göğüs piept
yürek inimə
karaciğer ficat
içmek bea
yemek mınca
ısırmak muşca
görmek vedea
duymak auzi
bilmek şti
uyumak dormi
ölmek muri
öldürmek ucide
yüzmek ınota
uçmak zbura
yürümek merge
gelmek veni
yatmak zəcea
oturmak şedea
durmak sta
vermek da
demek zice
güneş soare
ay lunə
yıldız stea
su apə
yağmur ploaie
taş piatrə
kum nisip
toprak pəmınt
bulut nor
duman fum
ateş foc
kül cenuşə
yanmak arde
yol drum
dağ munte
kırmızı roşu
yeşil verde
sarı galben
beyaz alb
kara negru
gece noapte
sıcak cald
soğuk rece
dolu plin
yeni nou
iyi bun
yuvarlak rotund
kuru uscat
ad nume
