# Azerbaycanca Swadesh-100 (Latin yazısı; anlam etiketleri Türkçe dosyayla aynı sırada,
# eylemler kök biçimiyle). Anlamca standart karşılık esas alınmıştır; bu yüzden kimi
# maddeler Türkçeyle kökendaş değildir (it, sümük, od, yaxşı...).
ben mən
sen sən
biz biz
bu bu
şu o
kim kim
ne nə
değil deyil
hep hamı
çok çox
bir bir
iki iki
büyük böyük
uzun uzun
küçük kiçik
kadın qadın
adam kişi
insan insan
balık balıq
kuş quş
köpek it
bit bit
ağaç ağac
tohum toxum
yaprak yarpaq
kök kök
kabuk qabıq
deri dəri
et ət
kan qan
kemik sümük
yağ yağ
yumurta yumurta
boynuz buynuz
kuyruk quyruq
tüy tük
saç saç
baş baş
kulak qulaq
göz göz
burun burun
ağız ağız
diş diş
dil dil
tırnak dırnaq
ayak ayaq
diz diz
el əl
karın qarın
boyun boyun
göğüs döş
yürek ürək
karaciğer qaraciyər
içmek iç
yemek ye
ısırmak dişlə
görmek gör
duymak eşit
bilmek bil
uyumak yat
ölmek öl
öldürmek öldür
yüzmek üz
uçmak uç
yürümek yeri
gelmek gəl
yatmak uzan
oturmak otur
durmak dur
vermek ver
demek de
güneş günəş
ay ay
yıldız ulduz
su su
yağmur yağış
taş daş
kum qum
toprak torpaq
bulut bulud
duman tüstü
ateş od
kül kül
yanmak yan
yol yol
dağ dağ
kırmızı qırmızı
yeşil yaşıl
sarı sarı
beyaz ağ
kara qara
gece gecə
sıcak isti
soğuk soyuq
dolu dolu
yeni yeni
iyi yaxşı
yuvarlak dəyirmi
kuru quru
ad ad
