# Portekizce Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: aksanlar tabana indirgenir (á/â/ã/à->a,
# é/ê->e, í->i, ó/ô/õ->o, ú->u); ç->s ([s]). Eylemler mastar. İlk taslak.
ben eu
sen tu
biz nos
bu este
şu esse
kim quem
ne que
değil nao
hep todo
çok muitos
bir um
iki dois
büyük grande
uzun longo
küçük pequeno
kadın mulher
adam homem
insan pessoa
balık peixe
kuş passaro
köpek cao
bit piolho
ağaç arvore
tohum semente
yaprak folha
kök raiz
kabuk casca
deri pele
et carne
kan sangue
kemik osso
yağ gordura
yumurta ovo
boynuz corno
kuyruk cauda
tüy pena
saç cabelo
baş cabeca
kulak orelha
göz olho
burun nariz
ağız boca
diş dente
dil lingua
tırnak garra
ayak pe
diz joelho
el mao
karın barriga
boyun pescoco
göğüs peito
yürek coracao
karaciğer figado
içmek beber
yemek comer
ısırmak morder
görmek ver
duymak ouvir
bilmek saber
uyumak dormir
ölmek morrer
öldürmek matar
yüzmek nadar
uçmak voar
yürümek andar
gelmek vir
yatmak deitar
oturmak sentar
durmak parar
vermek dar
demek dizer
güneş sol
ay lua
yıldız estrela
su agua
yağmur chuva
taş pedra
kum areia
toprak terra
bulut nuvem
duman fumaca
ateş fogo
kül cinza
yanmak queimar
yol caminho
dağ montanha
kırmızı vermelho
yeşil verde
sarı amarelo
beyaz branco
kara preto
gece noite
sıcak quente
soğuk frio
dolu cheio
yeni novo
iyi bom
yuvarlak redondo
kuru seco
ad nome
