# Kürtçe (Kurmancî) Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla
# aynı sırada). Yazılış normalizasyonu (uzun ünlü imleri kümede yok): ê -> e,
# î -> i, û -> u. ç, ş, x, q korunur (c=[dʒ], j=[ʒ]). Eylemler mastar biçiminde.
ben ez
sen tu
biz em
bu ev
şu ew
kim ki
ne çi
değil ne
hep gelek
çok pir
bir yek
iki du
büyük mezin
uzun direj
küçük biçuk
kadın jin
adam mer
insan mirov
balık masi
kuş çuk
köpek kuçik
bit spi
ağaç dar
tohum tov
yaprak pel
kök reh
kabuk qalik
deri çerm
et goşt
kan xwin
kemik hesti
yağ run
yumurta hek
boynuz qiloç
kuyruk duv
tüy per
saç por
baş ser
kulak guh
göz çav
burun poz
ağız dev
diş diran
dil ziman
tırnak neynuk
ayak ling
diz çok
el dest
karın zik
boyun stu
göğüs sing
yürek dil
karaciğer kezeb
içmek vexwarin
yemek xwarin
ısırmak gestin
görmek ditin
duymak bihistin
bilmek zanin
uyumak nivistin
ölmek mirin
öldürmek kuştin
yüzmek ajne
uçmak firin
yürümek meşin
gelmek hatin
yatmak razan
oturmak runiştin
durmak sekinin
vermek dan
demek gotin
güneş tav
ay heyv
yıldız sterk
su av
yağmur baran
taş kevir
kum qum
toprak ax
bulut ewr
duman duman
ateş agir
kül xweli
yanmak şewitin
yol re
dağ çiya
kırmızı sor
yeşil kesk
sarı zer
beyaz spi
kara reş
gece şev
sıcak germ
soğuk sar
dolu tiji
yeni nu
iyi baş
yuvarlak gilover
kuru hişk
ad nav
