# Hollandaca Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: ë/ï/é -> e/i/e (diyakritikler tabana);
# kayıcı j -> y (ij ikilisi -> iy). Eylemler mastar (-en). İlk taslak.
ben ik
sen yiy
biz wiy
bu dit
şu dat
kim wie
ne wat
değil niet
hep alle
çok veel
bir een
iki twee
büyük groot
uzun lang
küçük klein
kadın vrouw
adam man
insan mens
balık vis
kuş vogel
köpek hond
bit luis
ağaç boom
tohum zaad
yaprak blad
kök wortel
kabuk schors
deri huid
et vlees
kan bloed
kemik bot
yağ vet
yumurta ei
boynuz hoorn
kuyruk staart
tüy veer
saç haar
baş hoofd
kulak oor
göz oog
burun neus
ağız mond
diş tand
dil tong
tırnak klauw
ayak voet
diz knie
el hand
karın buik
boyun nek
göğüs borst
yürek hart
karaciğer lever
içmek drinken
yemek eten
ısırmak biyten
görmek zien
duymak horen
bilmek weten
uyumak slapen
ölmek sterven
öldürmek doden
yüzmek zwemmen
uçmak vliegen
yürümek lopen
gelmek komen
yatmak liggen
oturmak zitten
durmak staan
vermek geven
demek zeggen
güneş zon
ay maan
yıldız ster
su water
yağmur regen
taş steen
kum zand
toprak aarde
bulut wolk
duman rook
ateş vuur
kül as
yanmak branden
yol weg
dağ berg
kırmızı rood
yeşil groen
sarı geel
beyaz wit
kara zwart
gece nacht
sıcak heet
soğuk koud
dolu vol
yeni nieuw
iyi goed
yuvarlak rond
kuru droog
ad naam
