# İspanyolca Swadesh-100 (yazılış esaslı; anlam etiketleri Türkçe dosyayla aynı
# sırada). Yazılış normalizasyonu: aksanlar tabana indirgenir (á->a ... ü->u);
# ñ korunur (yazılı harf). Eylemler mastar (-ar/-er/-ir). İlk taslak.
ben yo
sen tu
biz nosotros
bu este
şu ese
kim quien
ne que
değil no
hep todo
çok muchos
bir uno
iki dos
büyük grande
uzun largo
küçük pequeño
kadın mujer
adam hombre
insan persona
balık pez
kuş pajaro
köpek perro
bit piojo
ağaç arbol
tohum semilla
yaprak hoja
kök raiz
kabuk corteza
deri piel
et carne
kan sangre
kemik hueso
yağ grasa
yumurta huevo
boynuz cuerno
kuyruk cola
tüy pluma
saç pelo
baş cabeza
kulak oreja
göz ojo
burun nariz
ağız boca
diş diente
dil lengua
tırnak garra
ayak pie
diz rodilla
el mano
karın vientre
boyun cuello
göğüs pecho
yürek corazon
karaciğer higado
içmek beber
yemek comer
ısırmak morder
görmek ver
duymak oir
bilmek saber
uyumak dormir
ölmek morir
öldürmek matar
yüzmek nadar
uçmak volar
yürümek caminar
gelmek venir
yatmak yacer
oturmak sentar
durmak parar
vermek dar
demek decir
güneş sol
ay luna
yıldız estrella
su agua
yağmur lluvia
taş piedra
kum arena
toprak tierra
bulut nube
duman humo
ateş fuego
kül ceniza
yanmak quemar
yol camino
dağ montaña
kırmızı rojo
yeşil verde
sarı amarillo
beyaz blanco
kara negro
gece noche
sıcak caliente
soğuk frio
dolu lleno
yeni nuevo
iyi bueno
yuvarlak redondo
kuru seco
ad nombre
